ID,SalesDate,OrderID,CustomerID,SalesPersonID,ProductID,Quantity,Sales,StoreID,Category,Product,Region,Store,Latitude,Longitude,SalesPersonName,Title,Country,CustomerName,Gender,Phone,PostalCode,Foreigner
31,2015-01-01,11351,61,2,13,25,620.2473494,7,Baby Clothes,Aino Shoes,East,Airport Terminal 1,1.35732,103.987309,Erik Presley,President,Singapore,Giovanni Santhos,Female,(21) 555-4252,02389-673,False
32,2015-01-01,11351,61,2,44,30,2672.099914,9,Women's Clothes,Okkaba Skin Jackets,South ,Marina Square,1.29136,103.85786,Erik Presley,President,Singapore,Giovanni Santhos,Female,(21) 555-4252,02389-673,False
33,2015-01-01,11351,61,2,51,2,229.5911682,2,Men's Footwear,Summit Hiking Boots,West ,Bukit Panjang Plaza,1.37974,103.7644,Erik Presley,President,Singapore,Giovanni Santhos,Female,(21) 555-4252,02389-673,False
34,2015-01-01,11392,51,1,18,39,969.2832616,7,Baby Clothes,Deuce Shirt,East,Airport Terminal 1,1.35732,103.987309,Frank Roll,Sales Representative,Canada,James Belucci,Female,(514) 555-8054,H1J 1C3,True
35,2015-01-01,11392,51,1,42,10,151.5037061,1,Women's Footwear,Walking Shoes,West ,Jurong Point,1.34032,103.706006,Frank Roll,Sales Representative,Canada,James Belucci,Female,(514) 555-8054,H1J 1C3,True
36,2015-01-01,11392,51,1,47,16,393.6492859,1,Men's Footwear,Lundenhagen Boots,West ,Jurong Point,1.34032,103.706006,Frank Roll,Sales Representative,Canada,James Belucci,Female,(514) 555-8054,H1J 1C3,True
37,2015-01-01,11411,42,1,38,24,1634.649742,9,Women's Clothes,Le Baby Dress,South ,Marina Square,1.29136,103.85786,Frank Roll,Sales Representative,Canada,Joe Barry,Female,(604) 555-3392,V3F 2K1,True
38,2015-01-01,11411,42,1,41,16,151.3241854,1,Baby Clothes,Duck Shirt,West ,Jurong Point,1.34032,103.706006,Frank Roll,Sales Representative,Canada,Joe Barry,Female,(604) 555-3392,V3F 2K1,True
39,2015-01-01,11411,42,1,44,94,6291.462756,6,Women's Clothes,Okkaba Skin Jackets,South ,Holland Village,1.31101,103.79627,Frank Roll,Sales Representative,Canada,Joe Barry,Female,(604) 555-3392,V3F 2K1,True
40,2015-01-01,11411,42,1,65,12,109.789908,9,Women's Clothes,Stretch Pants,South ,Marina Square,1.29136,103.85786,Frank Roll,Sales Representative,Canada,Joe Barry,Female,(604) 555-3392,V3F 2K1,True
41,2015-01-01,11766,82,1,21,40,456.6936006,9,Sportswear,Basket Shoes,South ,Marina Square,1.29136,103.85786,Frank Roll,Sales Representative,USA,Mark Stark,Male,(206) 555-8257,98034,True
42,2015-01-01,11766,82,1,27,28,1238.818634,8,Sportswear,Tracksuit,East,Parkway Parade,1.30124,103.90523,Frank Roll,Sales Representative,USA,Mark Stark,Male,(206) 555-8257,98034,True
43,2015-01-01,11766,82,1,55,28,1184.594249,7,Sportswear,Feiss Fleece Trousers,East,Airport Terminal 1,1.35732,103.987309,Frank Roll,Sales Representative,USA,Mark Stark,Male,(206) 555-8257,98034,True
44,2015-01-01,11766,82,1,58,33,1680.200443,7,Baby Clothes,Onesy Dress,East,Airport Terminal 1,1.35732,103.987309,Frank Roll,Sales Representative,USA,Mark Stark,Male,(206) 555-8257,98034,True
45,2015-01-01,11814,73,9,8,25,539.2270894,2,Women's Clothes,Tuxedo Top,West ,Bukit Panjang Plaza,1.37974,103.7644,Helen Brolin,Sales Representative,Singapore,Preben Elkjaer,Male,31123456,1734,False
46,2015-01-01,11814,73,9,21,49,531.6259365,7,Sportswear,Basket Shoes,East,Airport Terminal 1,1.35732,103.987309,Helen Brolin,Sales Representative,Singapore,Preben Elkjaer,Male,31123456,1734,False
47,2015-01-01,11814,73,9,40,100,1980.414351,8,Baby Clothes,Duck Trousers,East,Parkway Parade,1.30124,103.90523,Helen Brolin,Sales Representative,Singapore,Preben Elkjaer,Male,31123456,1734,False
48,2015-01-01,11814,73,9,44,7,545.4964164,1,Women's Clothes,Okkaba Skin Jackets,West ,Jurong Point,1.34032,103.706006,Helen Brolin,Sales Representative,Singapore,Preben Elkjaer,Male,31123456,1734,False
49,2015-01-01,11835,56,7,41,23,254.8602314,8,Baby Clothes,Duck Shirt,East,Parkway Parade,1.30124,103.90523,Tom Lindwall,Sales Representative,Germany,Herman Schlusse,Female,0221-0644327,50739,True
50,2015-01-01,11835,56,7,51,170,19525.55967,2,Men's Footwear,Summit Hiking Boots,West ,Bukit Panjang Plaza,1.37974,103.7644,Tom Lindwall,Sales Representative,Germany,Herman Schlusse,Female,0221-0644327,50739,True
51,2015-01-01,11835,56,7,77,24,337.045366,9,Women's Clothes,Wrap Skirt,South ,Marina Square,1.29136,103.85786,Tom Lindwall,Sales Representative,Germany,Herman Schlusse,Female,0221-0644327,50739,True
52,2015-01-01,11929,75,1,29,17,2255.228869,8,Men's Footwear,Davenport Shoes,East,Parkway Parade,1.30124,103.90523,Frank Roll,Sales Representative,USA,Paul Smith,Female,(307) 555-4680,82520,True
53,2015-01-01,11929,75,1,56,15,666.0058284,1,Women's Footwear,Slip-on Shoes,West ,Jurong Point,1.34032,103.706006,Frank Roll,Sales Representative,USA,Paul Smith,Female,(307) 555-4680,82520,True
54,2015-01-01,11953,73,9,2,30,509.3845667,7,Sportswear,Mr2 Trousers,East,Airport Terminal 1,1.35732,103.987309,Helen Brolin,Sales Representative,Singapore,Preben Elkjaer,Male,31123456,1734,False
55,2015-01-01,11953,73,9,14,51,986.1121886,8,Children's Clothes,Kool Sunglasses,East,Parkway Parade,1.30124,103.90523,Helen Brolin,Sales Representative,Singapore,Preben Elkjaer,Male,31123456,1734,False
56,2015-01-01,11953,73,9,25,9,114.9503201,9,Sportswear,Basket Vest,South ,Marina Square,1.29136,103.85786,Helen Brolin,Sales Representative,Singapore,Preben Elkjaer,Male,31123456,1734,False
57,2015-01-01,11953,73,9,26,85,2365.524887,1,Sportswear,Bike Helmet,West ,Jurong Point,1.34032,103.706006,Helen Brolin,Sales Representative,Singapore,Preben Elkjaer,Male,31123456,1734,False
58,2015-01-01,11953,73,9,31,39,278.0756124,9,Men's Clothes,Rossi Bermuda Shorts,South ,Marina Square,1.29136,103.85786,Helen Brolin,Sales Representative,Singapore,Preben Elkjaer,Male,31123456,1734,False
59,2015-01-01,12104,48,1,28,6,271.362845,2,Children's Clothes,RDL Suit,West ,Bukit Panjang Plaza,1.37974,103.7644,Frank Roll,Sales Representative,USA,Andrea Pamelsson,Male,(503) 555-9573,97219,True
60,2015-01-01,12104,48,1,67,6,404.7022406,9,Women's Clothes,Minnki Pälsii,South ,Marina Square,1.29136,103.85786,Frank Roll,Sales Representative,USA,Andrea Pamelsson,Male,(503) 555-9573,97219,True
61,2015-01-01,12123,19,9,36,30,278.6073505,2,Baby Clothes,Mehmet-Tröja,West ,Bukit Panjang Plaza,1.37974,103.7644,Helen Brolin,Sales Representative,UK,Greg Thatcher,Female,(171) 555-0297,WX1 6LT,True
62,2015-01-01,12123,19,9,52,83,7752.973631,6,Women's Footwear,Winter Boots,South ,Holland Village,1.31101,103.79627,Helen Brolin,Sales Representative,UK,Greg Thatcher,Female,(171) 555-0297,WX1 6LT,True
63,2015-01-01,12128,29,4,10,5,33.46318881,1,Baby Clothes,Sapporoo Gloves,West ,Jurong Point,1.34032,103.706006,Joan Callins,Sales Coordinator,Spain,Jusep del pep,Male,(93) 203 4560,8022,True
64,2015-01-01,12164,33,3,29,10,1301.707046,7,Men's Footwear,Davenport Shoes,East,Airport Terminal 1,1.35732,103.987309,Rob Carsson,Sales Representative,Singapore,Antonio Palmer Amer,Male,(2) 283-2951,1081,False
65,2015-01-01,12164,33,3,72,4,56.10767968,7,Women's Clothes,Oyaki Kimono,East,Airport Terminal 1,1.35732,103.987309,Rob Carsson,Sales Representative,Singapore,Antonio Palmer Amer,Male,(2) 283-2951,1081,False
66,2015-01-01,12167,37,2,33,21,628.5936534,7,Sportswear,Casual Boots,East,Airport Terminal 1,1.35732,103.987309,Erik Presley,President,Singapore,Robert Bolero,Male,2967542,12580,False
67,2015-01-01,12187,61,2,13,25,632.5192753,9,Baby Clothes,Aino Shoes,South ,Marina Square,1.29136,103.85786,Erik Presley,President,Singapore,Giovanni Santhos,Female,(21) 555-4252,02389-673,False
68,2015-01-01,12187,61,2,44,30,2724.968841,7,Women's Clothes,Okkaba Skin Jackets,East,Airport Terminal 1,1.35732,103.987309,Erik Presley,President,Singapore,Giovanni Santhos,Female,(21) 555-4252,02389-673,False
69,2015-01-01,12187,61,2,51,2,234.1337524,2,Men's Footwear,Summit Hiking Boots,West ,Bukit Panjang Plaza,1.37974,103.7644,Erik Presley,President,Singapore,Giovanni Santhos,Female,(21) 555-4252,02389-673,False
70,2015-01-01,12235,51,1,4,9,199.0354835,8,Women's Clothes,Rossi Shorts,East,Parkway Parade,1.30124,103.90523,Frank Roll,Sales Representative,Canada,James Belucci,Female,(514) 555-8054,H1J 1C3,True
71,2015-01-01,12235,51,1,17,65,1649.189677,6,Men's Footwear,TieBreak Tennis shoes,South ,Holland Village,1.31101,103.79627,Frank Roll,Sales Representative,Canada,James Belucci,Female,(514) 555-8054,H1J 1C3,True
72,2015-01-01,12235,51,1,62,26,825.5387736,1,Sportswear,Lace Shoes,West ,Jurong Point,1.34032,103.706006,Frank Roll,Sales Representative,Canada,James Belucci,Female,(514) 555-8054,H1J 1C3,True
73,2015-01-01,12768,62,2,20,13,1314.416314,6,Sportswear,Tennis Suit,South ,Holland Village,1.31101,103.79627,Erik Presley,President,Singapore,Jorge Alemaio,Female,(11) 555-1189,05487-020,False
74,2015-01-01,12768,62,2,38,45,4365.083833,7,Women's Clothes,Le Baby Dress,East,Airport Terminal 1,1.35732,103.987309,Erik Presley,President,Singapore,Jorge Alemaio,Female,(11) 555-1189,05487-020,False
75,2015-01-01,12768,62,2,60,78,514.5056472,2,Sportswear,Game Over T-Shirt,West ,Bukit Panjang Plaza,1.37974,103.7644,Erik Presley,President,Singapore,Jorge Alemaio,Female,(11) 555-1189,05487-020,False
76,2015-01-01,12768,62,2,72,47,628.8194926,1,Women's Clothes,Oyaki Kimono,West ,Jurong Point,1.34032,103.706006,Erik Presley,President,Singapore,Jorge Alemaio,Female,(11) 555-1189,05487-020,False
77,2015-01-01,12770,91,8,31,36,294.7790195,2,Men's Clothes,Rossi Bermuda Shorts,West ,Bukit Panjang Plaza,1.37974,103.7644,Leif Shine,Sales Manager,Poland,Boniekk Wallessa,Male,(26) 642-7012,01-012,True
78,2015-01-01,12770,91,8,58,18,834.3443488,8,Baby Clothes,Onesy Dress,East,Parkway Parade,1.30124,103.90523,Leif Shine,Sales Manager,Poland,Boniekk Wallessa,Male,(26) 642-7012,01-012,True
79,2015-01-01,13018,63,8,35,100,713.4299267,8,Swimwear,LA. Shorts,East,Parkway Parade,1.30124,103.90523,Leif Shine,Sales Manager,Germany,George Essen,Male,0372-035188,1307,True
80,2015-01-01,13018,63,8,62,40,1425.918032,7,Sportswear,Lace Shoes,East,Airport Terminal 1,1.35732,103.987309,Leif Shine,Sales Manager,Germany,George Essen,Male,0372-035188,1307,True
81,2015-01-01,13030,37,2,2,48,958.4540974,7,Sportswear,Mr2 Trousers,East,Airport Terminal 1,1.35732,103.987309,Erik Presley,President,Singapore,Robert Bolero,Male,2967542,12580,False
82,2015-01-01,13030,37,2,36,48,401.0862642,2,Baby Clothes,Mehmet-Tröja,West ,Bukit Panjang Plaza,1.37974,103.7644,Erik Presley,President,Singapore,Robert Bolero,Male,2967542,12580,False
83,2015-01-01,13030,37,2,59,36,374.9937995,6,Sportswear,Rasta WCT,South ,Holland Village,1.31101,103.79627,Erik Presley,President,Singapore,Robert Bolero,Male,2967542,12580,False
84,2015-01-01,13030,37,2,62,18,573.7610047,8,Sportswear,Lace Shoes,East,Parkway Parade,1.30124,103.90523,Erik Presley,President,Singapore,Robert Bolero,Male,2967542,12580,False
85,2015-01-01,13069,25,8,23,49,464.7096559,1,Women's Footwear,DSW Sandals,West ,Jurong Point,1.34032,103.706006,Leif Shine,Sales Manager,Germany,Dieter Köln,Male,089-0877310,80805,True
86,2015-01-01,13069,25,8,26,29,1025.259092,6,Sportswear,Bike Helmet,South ,Holland Village,1.31101,103.79627,Leif Shine,Sales Manager,Germany,Dieter Köln,Male,089-0877310,80805,True
87,2015-01-01,13069,25,8,36,24,202.0696681,2,Baby Clothes,Mehmet-Tröja,West ,Bukit Panjang Plaza,1.37974,103.7644,Leif Shine,Sales Manager,Germany,Dieter Köln,Male,089-0877310,80805,True
88,2015-01-01,13069,25,8,37,34,139.7290258,9,Baby Clothes,Mehmet-Skor,South ,Marina Square,1.29136,103.85786,Leif Shine,Sales Manager,Germany,Dieter Köln,Male,089-0877310,80805,True
89,2015-01-01,13069,25,8,72,30,380.3032082,7,Women's Clothes,Oyaki Kimono,East,Airport Terminal 1,1.35732,103.987309,Leif Shine,Sales Manager,Germany,Dieter Köln,Male,089-0877310,80805,True
90,2015-01-01,13325,39,3,26,34,1144.669371,9,Sportswear,Bike Helmet,South ,Marina Square,1.29136,103.85786,Rob Carsson,Sales Representative,Germany,Dieter Rummernige,Male,0555-09876,14776,True
91,2015-01-01,13325,39,3,38,26,2387.889263,8,Women's Clothes,Le Baby Dress,East,Parkway Parade,1.30124,103.90523,Rob Carsson,Sales Representative,Germany,Dieter Rummernige,Male,0555-09876,14776,True
92,2015-01-01,13325,39,3,40,51,1036.162661,7,Baby Clothes,Duck Trousers,East,Airport Terminal 1,1.35732,103.987309,Rob Carsson,Sales Representative,Germany,Dieter Rummernige,Male,0555-09876,14776,True
93,2015-01-01,13325,39,3,62,21,638.3309472,2,Sportswear,Lace Shoes,West ,Bukit Panjang Plaza,1.37974,103.7644,Rob Carsson,Sales Representative,Germany,Dieter Rummernige,Male,0555-09876,14776,True
94,2015-01-01,13409,35,3,41,29,258.1797878,2,Baby Clothes,Duck Shirt,West ,Bukit Panjang Plaza,1.37974,103.7644,Rob Carsson,Sales Representative,Singapore,Nicolas Balines,Male,(5) 555-1340,5022,False
95,2015-01-01,13409,35,3,71,29,887.7101,7,Men's Clothes,Atles Lussekofta,East,Airport Terminal 1,1.35732,103.987309,Rob Carsson,Sales Representative,Singapore,Nicolas Balines,Male,(5) 555-1340,5022,False
96,2015-01-01,13414,91,8,61,15,349.0703742,1,Sportswear,AAA Running Shoe,West ,Jurong Point,1.34032,103.706006,Leif Shine,Sales Manager,Poland,Boniekk Wallessa,Male,(26) 642-7012,01-012,True
97,2015-01-01,13430,34,9,17,18,488.5144965,6,Men's Footwear,TieBreak Tennis shoes,South ,Holland Village,1.31101,103.79627,Helen Brolin,Sales Representative,Singapore,Joe do Pintho,Male,(21) 555-0091,05454-876,False
98,2015-01-01,13430,34,9,24,42,235.2028238,1,Men's Clothes,Samba Soccer Socks,West ,Jurong Point,1.34032,103.706006,Helen Brolin,Sales Representative,Singapore,Joe do Pintho,Male,(21) 555-0091,05454-876,False
99,2015-01-01,13446,63,7,13,20,469.7241927,9,Baby Clothes,Aino Shoes,South ,Marina Square,1.29136,103.85786,Tom Lindwall,Sales Representative,Germany,George Essen,Male,0372-035188,1307,True
100,2015-01-01,13446,63,7,43,24,315.584915,7,Swimwear,Summer Shorts,East,Airport Terminal 1,1.35732,103.987309,Tom Lindwall,Sales Representative,Germany,George Essen,Male,0372-035188,1307,True
101,2015-01-01,13446,63,7,60,49,267.4916337,9,Sportswear,Game Over T-Shirt,South ,Marina Square,1.29136,103.85786,Tom Lindwall,Sales Representative,Germany,George Essen,Male,0372-035188,1307,True
102,2015-01-01,13446,63,7,71,35,1172.18292,7,Men's Clothes,Atles Lussekofta,East,Airport Terminal 1,1.35732,103.987309,Tom Lindwall,Sales Representative,Germany,George Essen,Male,0372-035188,1307,True
103,2015-01-01,13475,79,8,19,12,133.8160961,8,Sportswear,Squash Shorts,East,Parkway Parade,1.30124,103.90523,Leif Shine,Sales Manager,Germany,Heinz Disco,Female,0251-031259,44087,True
104,2015-01-01,13475,79,8,49,41,916.8654414,6,Sportswear,Finnish Sport Blades,South ,Holland Village,1.31101,103.79627,Leif Shine,Sales Manager,Germany,Heinz Disco,Female,0251-031259,44087,True
105,2015-01-01,13512,73,9,26,6,154.5872281,7,Sportswear,Bike Helmet,East,Airport Terminal 1,1.35732,103.987309,Helen Brolin,Sales Representative,Singapore,Preben Elkjaer,Male,31123456,1734,False
106,2015-01-01,13512,73,9,76,6,2063.801996,8,Women's Clothes,Halter Dress,East,Parkway Parade,1.30124,103.90523,Helen Brolin,Sales Representative,Singapore,Preben Elkjaer,Male,31123456,1734,False
107,2015-01-01,13620,37,3,45,17,178.7218687,9,Men's Footwear,Danske Treshoe,South ,Marina Square,1.29136,103.85786,Rob Carsson,Sales Representative,Singapore,Robert Bolero,Male,2967542,12580,False
108,2015-01-01,13620,37,3,52,23,2297.101666,7,Women's Footwear,Winter Boots,East,Airport Terminal 1,1.35732,103.987309,Rob Carsson,Sales Representative,Singapore,Robert Bolero,Male,2967542,12580,False
109,2015-01-01,13620,37,3,53,46,3490.260462,8,Women's Clothes,Jack Flash Dress,East,Parkway Parade,1.30124,103.90523,Rob Carsson,Sales Representative,Singapore,Robert Bolero,Male,2967542,12580,False
110,2015-01-01,13749,37,9,52,7,621.3100777,2,Women's Footwear,Winter Boots,West ,Bukit Panjang Plaza,1.37974,103.7644,Helen Brolin,Sales Representative,Singapore,Robert Bolero,Male,2967542,12580,False
111,2015-01-01,13749,37,9,59,4,34.46935244,7,Sportswear,Rasta WCT,East,Airport Terminal 1,1.35732,103.987309,Helen Brolin,Sales Representative,Singapore,Robert Bolero,Male,2967542,12580,False
112,2015-01-01,13749,37,9,70,7,225.9507582,8,Men's Clothes,US-Master Jeans,East,Parkway Parade,1.30124,103.90523,Helen Brolin,Sales Representative,Singapore,Robert Bolero,Male,2967542,12580,False
113,2015-01-01,13757,59,4,36,37,326.0902936,8,Baby Clothes,Mehmet-Tröja,East,Parkway Parade,1.30124,103.90523,Joan Callins,Sales Coordinator,Singapore,Herbert Bernstorf,Female,6562-9722,5020,False
114,2015-01-01,13757,59,4,40,19,422.8672665,7,Baby Clothes,Duck Trousers,East,Airport Terminal 1,1.35732,103.987309,Joan Callins,Sales Coordinator,Singapore,Herbert Bernstorf,Female,6562-9722,5020,False
115,2015-01-01,13767,3,9,11,60,1683.841516,8,Men's Clothes,Desperado Jeans,East,Parkway Parade,1.30124,103.90523,Helen Brolin,Sales Representative,Singapore,Sancho Panza,Female,(5) 555-3932,5023,False
116,2015-01-01,13767,3,9,40,12,230.8588368,6,Baby Clothes,Duck Trousers,South ,Holland Village,1.31101,103.79627,Helen Brolin,Sales Representative,Singapore,Sancho Panza,Female,(5) 555-3932,5023,False
117,2015-01-01,13767,3,9,57,6,121.260389,2,Women's Footwear,Lightweight Sandals,West ,Bukit Panjang Plaza,1.37974,103.7644,Helen Brolin,Sales Representative,Singapore,Sancho Panza,Female,(5) 555-3932,5023,False
118,2015-01-01,13767,3,9,59,18,136.7303111,6,Sportswear,Rasta WCT,South ,Holland Village,1.31101,103.79627,Helen Brolin,Sales Representative,Singapore,Sancho Panza,Female,(5) 555-3932,5023,False
119,2015-01-01,13776,48,1,28,7,301.6868667,6,Children's Clothes,RDL Suit,South ,Holland Village,1.31101,103.79627,Frank Roll,Sales Representative,USA,Andrea Pamelsson,Male,(503) 555-9573,97219,True
120,2015-01-01,13776,48,1,67,7,449.9265584,1,Women's Clothes,Minnki Pälsii,West ,Jurong Point,1.34032,103.706006,Frank Roll,Sales Representative,USA,Andrea Pamelsson,Male,(503) 555-9573,97219,True
121,2015-01-01,13790,23,6,47,24,578.9392881,8,Men's Footwear,Lundenhagen Boots,East,Parkway Parade,1.30124,103.90523,Lennart Skoglund,Sales Representative,France,Jaques Wilneuve,Male,20.16.10.16,59000,True
122,2015-01-01,13790,23,6,51,19,1692.440703,7,Men's Footwear,Summit Hiking Boots,East,Airport Terminal 1,1.35732,103.987309,Lennart Skoglund,Sales Representative,France,Jaques Wilneuve,Male,20.16.10.16,59000,True
123,2015-01-01,13790,23,6,52,28,2322.537944,9,Women's Footwear,Winter Boots,South ,Marina Square,1.29136,103.85786,Lennart Skoglund,Sales Representative,France,Jaques Wilneuve,Male,20.16.10.16,59000,True
124,2015-01-01,13790,23,6,53,17,932.9531026,2,Women's Clothes,Jack Flash Dress,West ,Bukit Panjang Plaza,1.37974,103.7644,Lennart Skoglund,Sales Representative,France,Jaques Wilneuve,Male,20.16.10.16,59000,True
125,2015-01-01,13790,23,6,73,3,2.893527339,2,Baby Clothes,Mehmet-Napp,West ,Bukit Panjang Plaza,1.37974,103.7644,Lennart Skoglund,Sales Representative,France,Jaques Wilneuve,Male,20.16.10.16,59000,True
126,2015-01-01,13792,25,8,30,22,647.0091399,9,Baby Clothes,Baby Dark Lounge Suit,South ,Marina Square,1.29136,103.85786,Leif Shine,Sales Manager,Germany,Dieter Köln,Male,089-0877310,80805,True
127,2015-01-01,13792,25,8,62,16,573.0376883,6,Sportswear,Lace Shoes,South ,Holland Village,1.31101,103.79627,Leif Shine,Sales Manager,Germany,Dieter Köln,Male,089-0877310,80805,True
